ts,phase,floor,OHT_UT,JAM,Carousel_¤U³f¥¢±Ñ,Carousel_UT
2025/7/23 0:00,P5,B1F,0.51,0,0,0.76
2025/7/23 0:00,P5,1F,0.18,1,1,0.33
2025/7/23 0:00,P5,3F,0.71,1,0,0.09
2025/7/23 0:00,P6,1F,0.32,0,0,0.47
2025/7/23 0:00,P6,3F,0.59,1,0,0.35
2025/7/23 0:00,P7,1F,0.82,1,1,0.93
2025/7/23 0:00,P7,3F,0.87,1,0,0.23
2025/7/23 0:01,P5,B1F,0.98,0,0,0.32
2025/7/23 0:01,P5,1F,0.58,1,0,0.39
2025/7/23 0:01,P5,3F,0.44,2,0,0.22
2025/7/23 0:01,P6,1F,0.93,0,0,0.5
2025/7/23 0:01,P6,3F,0.21,1,1,0.11
2025/7/23 0:01,P7,1F,0.92,1,0,0.33
2025/7/23 0:01,P7,3F,0.62,1,0,0.32
2025/7/23 0:02,P5,B1F,0.89,0,0,0.89
2025/7/23 0:02,P5,1F,0.41,2,0,0.55
2025/7/23 0:02,P5,3F,0.66,0,0,0.95
2025/7/23 0:02,P6,1F,0.12,0,0,0.13
2025/7/23 0:02,P6,3F,0.79,1,0,0.87
2025/7/23 0:02,P7,1F,0.16,0,1,0.57
2025/7/23 0:02,P7,3F,0.89,0,0,0.84
2025/7/23 0:03,P5,B1F,0.02,0,2,0.58
2025/7/23 0:03,P5,1F,0.22,0,0,0.84
2025/7/23 0:03,P5,3F,0.77,0,0,0.73
2025/7/23 0:03,P6,1F,0.2,0,0,0.88
2025/7/23 0:03,P6,3F,0.99,0,1,0.06
2025/7/23 0:03,P7,1F,0.33,0,1,0.76
2025/7/23 0:03,P7,3F,0.78,2,0,0.81
2025/7/23 0:04,P5,B1F,0.24,2,0,0.48
2025/7/23 0:04,P5,1F,0.08,0,0,0.57
2025/7/23 0:04,P5,3F,0.49,0,0,0.06
2025/7/23 0:04,P6,1F,0.01,0,0,0.19
2025/7/23 0:04,P6,3F,0.92,0,1,0.85
2025/7/23 0:04,P7,1F,0.31,1,1,0.29
2025/7/23 0:04,P7,3F,0.72,0,2,0.43
2025/7/23 0:05,P5,B1F,0.86,0,0,0.31
2025/7/23 0:05,P5,1F,0.48,1,0,0.22
2025/7/23 0:05,P5,3F,0.77,1,0,0.26
2025/7/23 0:05,P6,1F,0.9,0,0,0.77
2025/7/23 0:05,P6,3F,0.04,1,0,0.1
2025/7/23 0:05,P7,1F,0.91,0,0,0.24
2025/7/23 0:05,P7,3F,0.54,3,0,0.43
2025/7/23 0:06,P5,B1F,0.41,0,0,0.05
2025/7/23 0:06,P5,1F,0.97,0,0,0.48
2025/7/23 0:06,P5,3F,0.17,0,0,0.24
2025/7/23 0:06,P6,1F,0.47,0,0,0.57
2025/7/23 0:06,P6,3F,0.85,0,0,0.19
2025/7/23 0:06,P7,1F,0.1,0,0,0.14
2025/7/23 0:06,P7,3F,0.82,1,0,0.93
2025/7/23 0:07,P5,B1F,0.97,0,1,0.07
2025/7/23 0:07,P5,1F,0.69,0,0,0.76
2025/7/23 0:07,P5,3F,0.49,0,0,0.04
2025/7/23 0:07,P6,1F,0.92,0,1,0.11
2025/7/23 0:07,P6,3F,0.79,1,0,0
2025/7/23 0:07,P7,1F,0.2,1,0,0.03
2025/7/23 0:07,P7,3F,0.34,0,1,0.16
2025/7/23 0:08,P5,B1F,0.03,1,0,0.56
2025/7/23 0:08,P5,1F,0.41,0,0,0.32
2025/7/23 0:08,P5,3F,0.7,1,0,0.79
2025/7/23 0:08,P6,1F,0.01,1,0,0.13
2025/7/23 0:08,P6,3F,0.89,1,0,0.57
